Date,Prices
38698,1904.59
38699,1915.3
38700,1923.43
38701,1920.85
38702,1915.4
38705,1904.21
38706,1903.81
38707,1908.65
38708,1917.16
38709,1918.25
38713,1899.93
38714,1902.73
38715,1897.19
38716,1887.93
38720,1918.95
38721,1926.38
38722,1926.43
38723,1945
38726,1952.13
38727,1951.53
38728,1958.56
38729,1946.28
38730,1948.64
38734,1941.57
38735,1934.21
38736,1944.98
38737,1909.35
38740,1912.91
38741,1917.54
38742,1914.28
38743,1928.17
38744,1943.34
38747,1945.66
38748,1937.93
38749,1941.75
38750,1924.67
38751,1914.5
38754,1916.04
38755,1900.58
38756,1917.84
38757,1915.1
38758,1920
38761,1914.02
38762,1933.46
38763,1940.68
38764,1955.06
38765,1951.83
38769,1945.45
38770,1960.26
38771,1953.37
38772,1956.14
38775,1963.58
38776,1943.19
38777,1959.76
38778,1956.6
38779,1953.74
38782,1940.2
38783,1936.68
38784,1941.17
38785,1931.73
38786,1945.92
38789,1950.39
38790,1970.65
38791,1979.21
38792,1982.76
38793,1985.69
38796,1982.4
38797,1970.5
38798,1982.4
38799,1977.29
38800,1979.24
38803,1977.19
38804,1964.47
38805,1979.51
38806,1975.6
38807,1967.38
38810,1971.92
38811,1984.47
38812,1993.21
38813,1989.87
38814,1969.3
38817,1971.02
38818,1956.11
38819,1958.49
38820,1960.01
38824,1954.25
38825,1988.18
38826,1991.84
38827,1994.23
38828,1993.99
38831,1989.2
38832,1979.51
38833,1985.28
38834,1992.39
38835,1993.79
38838,1985.55
38839,1997.75
38840,1989.97
38841,1996.74
38842,2017.34
38845,2015.84
38846,2016.59
38847,2013.99
38848,1988.56
38849,1966.27
38852,1971.45
38853,1967.79
38854,1935.18
38855,1922.32
38856,1930.27
38859,1922.72
38860,1914.38
38861,1917.48
38862,1939.52
38863,1950.87
38867,1920.09
38868,1936.41
38869,1960.28
38870,1964.11
38873,1929.23
38874,1927.13
38875,1915.77
38876,1918.59
38877,1910.01
38880,1885.81
38881,1866.92
38882,1876.67
38883,1916.56
38884,1909.52
38887,1892.12
38888,1892.13
38889,1910.62
38890,1900.98
38891,1899.32
38894,1908.56
38895,1891.24
38896,1901.98
38897,1943.08
38898,1939.03
38901,1954.49
38903,1940.55
38904,1945.9
38905,1932.75
38908,1935.61
38909,1943.66
38910,1922.62
38911,1897.73
38912,1888.43
38915,1885.82
38916,1889.48
38917,1924.74
38918,1908.42
38919,1894.94
38922,1926.5
38923,1938.68
38924,1937.96
38925,1930.32
38926,1953.86
38929,1950.99
38930,1942.22
38931,1954.18
38932,1957.41
38933,1956.05
38936,1950.63
38937,1944.22
38938,1936.3
38939,1945.61
38940,1938.13
38943,1940.5
38944,1967.26
38945,1982.81
38946,1986.04
38947,1993.43
38950,1986.11
38951,1988.1
38952,1979.35
38953,1984.09
38954,1982.81
38957,1993.06
