Date,SP500ClosedPrices,USTNoteClosedPrices
37616,1274.56,1.2240
37617,1254.66,1.2330
37620,1260.42,1.2350
37621,1261.18,1.2329
37623,1303.17,1.2124
37624,1302.55,1.2131
37627,1331.82,1.2105
37628,1323.17,1.2151
37629,1304.95,1.2141
37630,1330.31,1.1995
37631,1330.29,1.2031
37634,1328.50,1.2050
37635,1336.25,1.2093
37636,1317.18,1.2109
37637,1312.01,1.2090
37638,1293.63,1.2157
37642,1273.31,1.2204
37643,1260.16,1.2258
37644,1273.04,1.2241
37645,1235.84,1.2248
37648,1215.86,1.2218
37649,1231.74,1.2215
37650,1240.31,1.2167
37651,1212.23,1.2224
37652,1228.14,1.2227
37655,1234.79,1.2195
37656,1217.40,1.2270
37657,1211.04,1.2198
37658,1203.58,1.2254
37659,1191.46,1.2265
37662,1200.51,1.2235
37663,1190.83,1.2247
37664,1176.15,1.2294
37665,1174.43,1.2352
37666,1199.61,1.2274
37670,1223.11,1.2283
37671,1214.66,1.2345
37672,1203.18,1.2363
37673,1219.10,1.2344
37676,1196.71,1.2391
37677,1205.32,1.2417
37678,1189.98,1.2467
37679,1204.11,1.2497
37680,1209.71,1.2548
37683,1200.60,1.2561
37684,1182.17,1.2594
37685,1193.87,1.2613
37686,1182.82,1.2588
37687,1192.62,1.2604
37690,1161.85,1.2684
37691,1152.15,1.2666
37692,1157.61,1.2669
37693,1197.56,1.2501
37694,1199.55,1.2544
37697,1242.09,1.2412
37698,1247.40,1.2347
37699,1258.37,1.2273
37700,1260.77,1.2298
37701,1289.74,1.2156
37704,1244.31,1.2296
37705,1259.44,1.2317
37706,1252.59,1.2333
37707,1250.71,1.2338
37708,1243.51,1.2362
37711,1221.46,1.2466
37712,1236.30,1.2456
37713,1268.82,1.2338
37714,1262.43,1.2356
37715,1265.90,1.2317
37718,1267.49,1.2296
37719,1265.57,1.2342
37720,1247.99,1.2380
37721,1256.04,1.2335
37722,1251.41,1.2307
37725,1275.82,1.2269
37726,1283.96,1.2301
37727,1268.28,1.2347
37728,1287.99,1.2329
37732,1285.72,1.2307
37733,1313.63,1.2330
37734,1324.68,1.2319
37735,1313.75,1.2373
